Type,Name,HEX,RGB,R,G,B
Standard,Matt Black,#000000,"0, 0, 0",0,0,0
Standard,Deep Grey,#4D5265,"77, 82, 101",77,82,101
Standard,Uniform Grey,#696F7B,"105, 111, 123",105,111,123
Standard,Ash Grey,#84878C,"132, 135, 140",132,135,140
Standard,Company Grey,#BBBCC1,"187, 188, 193",187,188,193
Standard,Brigade Grey,#D0D1D3,"208, 209, 211",208,209,211
Standard,Castle Grey,#919087,"145, 144, 135",145,144,135
Standard,Gargoyle Grey,#A8A294,"168, 162, 148",168,162,148
Standard,Great Hall Grey,#BCB4A7,"188, 180, 167",188,180,167
Standard,Worn Stone,#C3BFB0,"195, 191, 176",195,191,176
Standard,Brainmatter Beige,#DEDCD1,"222, 220, 209",222,220,209
Standard,Matt White,#FFFFFF,"255, 255, 255",255,255,255
Standard,Night Sky,#221F1F,"34, 31, 31",34,31,31
Standard,Thunderus Blue,#31445A,"49, 68, 90",49,68,90
Standard,Stratos Blue,#365679,"54, 86, 121",54,86,121
Standard,Wolf Grey,#35658F,"53, 101, 143",53,101,143
Standard,Runic Cobalt,#5079A3,"80, 121, 163",80,121,163
Standard,Frost Blue,#9ABEDD,"154, 190, 221",154,190,221
Standard,Triumphant Navy,#182C55,"24, 44, 85",24,44,85
Standard,Gothic Blue,#2D3F77,"45, 63, 119",45,63,119
Standard,Ultramarine Blue,#274D8E,"39, 77, 142",39,77,142
Standard,Alpha Blue,#667EBE,"102, 126, 190",102,126,190
Standard,Baron Blue,#7D96CD,"125, 150, 205",125,150,205
Standard,Augur Blue,#ABBFE2,"171, 191, 226",171,191,226
Standard,Imperial Navy,#003663,"0, 54, 99",0,54,99
Standard,Regal Blue,#005088,"0, 80, 136",0,80,136
Standard,Royal Blue,#0062B0,"0, 98, 176",0,98,176
Standard,Crystal Blue,#0074BB,"0, 116, 187",0,116,187
Standard,Arctic Blue,#1195D3,"17, 149, 211",17,149,211
Standard,Bright Sapphire,#86CDF1,"134, 205, 241",134,205,241
Standard,Deep Ocean Blue,#1C3244,"28, 50, 68",28,50,68
Standard,Abyssal Blue,#004F6B,"0, 79, 107",0,79,107
Standard,Tidal Blue,#006C94,"0, 108, 148",0,108,148
Standard,Phalanx Blue,#0489AE,"4, 137, 174",4,137,174
Standard,Shieldwall Blue,#07A1C8,"7, 161, 200",7,161,200
Standard,Aegis Aqua,#3AB3D4,"58, 179, 212",58,179,212
Standard,Deep Azure,#004954,"0, 73, 84",0,73,84
Standard,Hydra Turquoise,#00827E,"0, 130, 126",0,130,126
Standard,Turquoise Siren,#00A19A,"0, 161, 154",0,161,154
Standard,Aquamarine,#6DC7C1,"109, 199, 193",109,199,193
Standard,Neptune Glow,#A3DAD5,"163, 218, 213",163,218,213
Standard,Marine Mist,#C0E8E4,"192, 232, 228",192,232,228
Standard,Scarab Green,#004B43,"0, 75, 67",0,75,67
Standard,Temple Gate Teal,#006B60,"0, 107, 96",0,107,96
Standard,Pharaoh Guard,#008577,"0, 133, 119",0,133,119
Standard,Talisman Teal,#009F8C,"0, 159, 140",0,159,140
Standard,Aqua Alchemy,#38B8A8,"56, 184, 168",56,184,168
Standard,Amulet Aqua,#7DD0C4,"125, 208, 196",125,208,196
Standard,Angel Green,#00412D,"0, 65, 45",0,65,45
Standard,Guardian Green,#006147,"0, 97, 71",0,97,71
Standard,Greenskin,#007D4D,"0, 125, 77",0,125,77
Standard,Eternal Hunt,#009E59,"0, 158, 89",0,158,89
Standard,Wild Green,#40B471,"64, 180, 113",64,180,113
Standard,Ferocious Green,#7ECF99,"126, 207, 153",126,207,153
Standard,Emerald Forest,#004225,"0, 66, 37",0,66,37
Standard,Leafy Green,#006936,"0, 105, 54",0,105,54
Standard,Rainforest,#008641,"0, 134, 65",0,134,65
Standard,Electric Lime,#7FBF3A,"127, 191, 58",127,191,58
Standard,Vivid Volt,#A3D24A,"163, 210, 74",163,210,74
Standard,Afterglow,#C6E580,"198, 229, 128",198,229,128
Standard,Evergreen Fog,#4B574B,"75, 87, 75",75,87,75
Standard,Medieval Forest,#5B6B5A,"91, 107, 90",91,107,90
Standard,Patagon Pine,#6A7D68,"106, 125, 104",106,125,104
Standard,Autumn Sage,#788B75,"120, 139, 117",120,139,117
Standard,Forest Faun,#8EA488,"142, 164, 136",142,164,136
Standard,Mossy Green,#A0B49A,"160, 180, 154",160,180,154
Standard,Woodland Camo,#4A5839,"74, 88, 57",74,88,57
Standard,Army Green,#5A6A48,"90, 106, 72",90,106,72
Standard,Camouflage Green,#6A7A55,"106, 122, 85",106,122,85
Standard,Olive Drab,#7A8A60,"122, 138, 96",122,138,96
Standard,Necrotic Flesh,#B0BB92,"176, 187, 146",176,187,146
Standard,Grotesque Green,#98A87A,"152, 168, 122",152,168,122
Standard,Brigadine Brown,#3E2E20,"62, 46, 32",62,46,32
Standard,Bootstrap Brown,#5A4534,"90, 69, 52",90,69,52
Standard,Leather Brown,#6A5038,"106, 80, 56",106,80,56
Standard,Paratrooper Tan,#7A6248,"122, 98, 72",122,98,72
Standard,Command Khaki,#8A785A,"138, 120, 90",138,120,90
Standard,Urban Buff,#9E8C75,"158, 140, 117",158,140,117
Standard,Tundra Taupe,#6F6755,"111, 103, 85",111,103,85
Standard,Prairie Ochre,#8D815D,"141, 129, 93",141,129,93
Standard,Desert Yellow,#AA9450,"170, 148, 80",170,148,80
Standard,Wasteland Clay,#A89058,"168, 144, 88",168,144,88
Standard,Burnt Tuft,#8A7A4A,"138, 122, 74",138,122,74
Standard,Barren Dune,#C8B070,"200, 176, 112",200,176,112
Standard,Dusty Skull,#BCB088,"188, 176, 136",188,176,136
Standard,Tomb King Tan,#CCBA92,"204, 186, 146",204,186,146
Standard,Skeleton Bone,#DCCA9E,"220, 202, 158",220,202,158
Standard,Ancient Stone,#DCD5BC,"220, 213, 188",220,213,188
Standard,Boney Spike,#E8E0C6,"232, 224, 198",232,224,198
Standard,Pale Sand,#F4F0E0,"244, 240, 224",244,240,224
Standard,Demigod Flames,#C07818,"192, 120, 24",192,120,24
Standard,Fiendish Yellow,#D89818,"216, 152, 24",216,152,24
Standard,Demonic Yellow,#F6D010,"246, 208, 16",246,208,16
Standard,Warped Yellow,#F8E040,"248, 224, 64",248,224,64
Standard,Space Dust,#FAEA90,"250, 234, 144",250,234,144
Standard,Ice Yellow,#FCF5D0,"252, 245, 208",252,245,208
Standard,Molten Lava,#BA3210,"186, 50, 16",186,50,16
Standard,Burning Ore,#D04818,"208, 72, 24",208,72,24
Standard,Lava Orange,#E45A20,"228, 90, 32",228,90,32
Standard,Flickering Flame,#F07830,"240, 120, 48",240,120,48
Standard,Glowing Inferno,#F8A058,"248, 160, 88",248,160,88
Standard,Inner Light,#FAC080,"250, 192, 128",250,192,128
Standard,Resplendent Red,#8C1218,"140, 18, 24",140,18,24
Standard,Angelic Red,#A41A1A,"164, 26, 26",164,26,26
Standard,Legendary Red,#C42024,"196, 32, 36",196,32,36
Standard,Sacred Red,#D44034,"212, 64, 52",212,64,52
Standard,Violent Vermillion,#E86050,"232, 96, 80",232,96,80
Standard,Raging Rouge,#F08878,"240, 136, 120",240,136,120
Standard,Oak Brown,#4C2A18,"76, 42, 24",76,42,24
